Id,Status__c,Tenancy__c,Parent_Tenancy
a24Nz000000hLfVIAU,Cancelled,8008d000000YVIIAA4,
a24Nz000000hNz3IAE,Cancelled,8008d000000YVIIAA4,
a24Nz000000hQbxIAE,Complete,8008d000000YVIIAA4,
a24Nz000000hdanIAA,Cancelled,8008d000000YVIIAA4,
a24Nz000000iIcLIAU,Cancelled,8008d000000Y2p9AAC,
a24Nz000000icb3IAA,Cancelled,8008d000000YQrZAAW,
a24Nz000000jnz3IAA,Cancelled,8008d000000Y2p9AAC,
a24Nz000000joLdIAI,Cancelled,8008d000000Y2p9AAC,
a24Nz000000jqthIAA,Complete,800Nz000003H8M4IAK,
a24Nz000000kEuPIAU,Complete,800Nz000001HCHEIA4,
a24Nz000000kFgnIAE,Complete,8008d000000YZgDAAW,
a24Nz000000kIWbIAM,Closed - Tenant Retained,8008d000000Y4VeAAK,
a24Nz000000kJcLIAU,Complete,8008d000000Yby7AAC,
a24Nz000000kP0DIAU,Complete,8008d000000YamIAAS,
a24Nz000000kUfpIAE,Complete,800Nz000001hB9KIAU,
a24Nz000000kVjxIAE,Complete,8008d000000YfktAAC,
a24Nz000000kXaTIAU,Complete,8008d000000YpJ6AAK,
a24Nz000000kYOTIA2,Active,8008d000000Y1w8AAC,
a24Nz000000kZNlIAM,Complete,8008d000000YWztAAG,
a24Nz000000kalFIAQ,Complete,800Nz000001FNdIIAW,
a24Nz000000krnhIAA,Closed - Tenant Retained,800Nz000003MzXoIAK,
a24Nz000000kt7yIAA,Complete,8008d000000YZhkAAG,
a24Nz000000ktpWIAQ,Complete,800Nz000002GzMZIA0,
a24Nz000000kuTpIAI,Complete,8008d000000Ya3WAAS,
a24Nz000000kunBIAQ,Complete,8008d000000YcRAAA0,
a24Nz000000kvJRIAY,Complete,8008d000000YWh6AAG,
a24Nz000000kvePIAQ,Active,8008d000000YaPiAAK,
a24Nz000000kvjFIAQ,Complete,8008d000000YaBbAAK,
a24Nz000000kw2bIAA,Complete,800Nz0000016PftIAE,
a24Nz000000kxUvIAI,Complete,800Nz0000014NorIAE,
a24Nz000000kxl3IAA,Active,800Nz000002LZBXIA4,
a24Nz000000ky4QIAQ,Closed - Tenant Retained,800Nz000002aKiLIAU,
a24Nz000000kycHIAQ,Closed - Tenant Retained,8008d000000YZs9AAG,
a24Nz000000kzjdIAA,Active,8008d000000YeZfAAK,
a24Nz000000l0ZFIAY,Complete,8008d000000YYQDAA4,
a24Nz000000l1ALIAY,Active,800Nz000001Cqf6IAC,
a24Nz000000l1FBIAY,Complete,8008d000000YYCaAAO,
a24Nz000000l1K2IAI,Complete,8008d000000YWtHAAW,
a24Nz000000l1n3IAA,Complete,8008d000000YUzRAAW,
a24Nz000000l2ETIAY,Cancelled,8008d000000YCshAAG,
a24Nz000000l7vhIAA,Complete,8008d000000Y2EXAA0,
a24Nz000000l9MPIAY,Complete,800Nz000001g7w1IAA,
a24Nz000000l9PdIAI,Cancelled,800Nz000001TXxlIAG,
a24Nz000000l9hNIAQ,Complete,8008d000000YXGQAA4,
a24Nz000000lAiHIAU,Complete,8008d000000YVdaAAG,
a24Nz000000lFDJIA2,Complete,8008d000000Ya9BAAS,
a24Nz000000lSSHIA2,Complete,800Nz000000j6ZBIAY,
a24Nz000000lTwDIAU,Complete,800Nz000005aOU0IAM,
a24Nz000000lUgzIAE,Complete,8008d000000YI14AAG,
a24Nz000000lWVuIAM,Active,8008d000000Yb9XAAS,
a24Nz000000lY33IAE,Complete,8008d000000Yd5wAAC,
a24Nz000000lZyPIAU,Cancelled,8008d000000YnAtAAK,
a24Nz000000le3dIAA,Complete,8008d000000YZZqAAO,
a24Nz000000lfCbIAI,Active,800Nz000001i5puIAA,
a24Nz000000lfpKIAQ,Complete,8008d000000YU7hAAG,
a24Nz000000lg73IAA,Complete,800Nz000001A7cLIAS,
a24Nz000000lggXIAQ,Closed - Tenant Retained,800Nz0000018sFdIAI,
a24Nz000000lkx3IAA,Complete,800Nz000000xtqAIAQ,
a24Nz000000lmKYIAY,Complete,800Nz000001NmD7IAK,
a24Nz000000m13RIAQ,Cancelled,8008d000000XxkxAAC,
a24Nz000000m3oQIAQ,Complete,8008d000000YV1RAAW,
a24Nz000000m4XZIAY,Complete,8008d000000YlZ8AAK,
a24Nz000000m4niIAA,Complete,800Nz000000YOCpIAO,
a24Nz000000mFJJIA2,Complete,8008d000000YZ5gAAG,
a24Nz000000mGfBIAU,Complete,8008d000000YbZvAAK,
a24Nz000000mIlpIAE,Complete,800Nz000001PflsIAC,
a24Nz000000mULZIA2,Complete,8008d000000YXrDAAW,
a24Nz000000n5OMIAY,Complete,8008d000000YderAAC,
a24Nz000000n613IAA,Complete,8008d000000YbcVAAS,
a24Nz000000n7pxIAA,Complete,8008d000000YZEiAAO,
a24Nz000000n9jhIAA,Complete,8008d000000YY7fAAG,
a24Nz000000nHkUIAU,Cancelled,8008d000000YLFCAA4,
a24Nz000000nSJJIA2,Complete,800Nz000002EJfxIAG,
a24Nz000000nSj7IAE,Cancelled,8008d000000YczEAAS,
a24Nz000000nTDlIAM,Complete,800Nz000002FhVAIA0,
a24Nz000000nbG9IAI,Complete,8008d000000YgRCAA0,
a24Nz000000ncAbIAI,Active,8008d000000YaUiAAK,
a24Nz000000nrj7IAA,Complete,8008d000000YYPjAAO,
a24Nz000000ntJVIAY,Complete,8008d000000YcibAAC,
a24Nz000000nuPFIAY,Complete,8008d000000YfZEAA0,
a24Nz000000nuXJIAY,Complete,8008d000000YXOpAAO,
a24Nz000000nuaYIAQ,Complete,8008d000000Y30gAAC,
a24Nz000000nvgHIAQ,Complete,8008d000000YaIcAAK,
a24Nz000000nvpxIAA,Complete,8008d000000Y79yAAC,
a24Nz000000nwUHIAY,Cancelled,8008d000000YTBIAA4,
a24Nz000000nwdxIAA,Complete,8008d000000YWoMAAW,
a24Nz000000nzK5IAI,Closed - Tenant Retained,800Nz000001NgArIAK,
a24Nz000000o4MzIAI,Complete,800Nz000001D5aaIAC,
a24Nz000000o4d7IAA,Complete,8008d000000YYsNAAW,
a24Nz000000o8tdIAA,Complete,8008d000000Ya9fAAC,
a24Nz000000oAsDIAU,Complete,800Nz000000ZNTCIA4,
a24Nz000000oDenIAE,Complete,8008d000000YM4uAAG,
a24Nz000000oGw2IAE,Complete,8008d000000Ygu4AAC,
a24Nz000000oSIrIAM,Active,8008d000000Ycc9AAC,
a24Nz000000oW4jIAE,Complete,8008d000000YgRvAAK,
a24Nz000000oZXFIA2,Complete,8008d000000Yd6BAAS,
a24Nz000000oc0UIAQ,Complete,800Nz000000yEsyIAE,
a24Nz000000ocWjIAI,Closed - Tenant Retained,8008d000000YZjCAAW,
a24Nz000000odJ7IAI,Cancelled,800Nz000001vLvIIAU,
a24Nz000000ogGzIAI,Complete,8008d000000YSxLAAW,
a24Nz000000ohbGIAQ,Complete,8008d000000YWgmAAG,
a24Nz000000ohcrIAA,Closed - Tenant Retained,800Nz000001h5QZIAY,
a24Nz000000oiqfIAA,Complete,800Nz0000013aPtIAI,
a24Nz000000oj8PIAQ,Complete,8008d000000YdY0AAK,
a24Nz000000omELIAY,Complete,8008d000000Y1UlAAK,
a24Nz000000pAbdIAE,Complete,8008d000000Y6n7AAC,
a24Nz000000pBCjIAM,Complete,800Nz0000014OXuIAM,
a24Nz000000pC0jIAE,Complete,8008d000000YZZHAA4,
a24Nz000000pETzIAM,Complete,8008d000000YXwXAAW,
a24Nz000000pJ5RIAU,Complete,800Nz000000qa11IAA,
a24Nz000000pNKLIA2,Complete,800Nz000000dLmHIAU,
a24Nz000000pO57IAE,Closed - Tenant Retained,8008d000000YJm3AAG,
a24Nz000000pOoHIAU,Complete,8008d000000YZWSAA4,
a24Nz000000pUIbIAM,Complete,8008d000000YYJvAAO,
a24Nz000000pWHBIA2,Active,8008d000000YlsPAAS,
a24Nz000000pWKPIA2,Complete,8008d000000YdV1AAK,
a24Nz000000pWfNIAU,Complete,800Nz000003gVX7IAM,
a24Nz000000pXy1IAE,Active,800Nz000000vzehIAA,
a24Nz000000plxlIAA,Complete,800Nz000002NM1uIAG,
a24Nz000000pn6jIAA,Closed - Tenant Retained,8008d000000YQuEAAW,
a24Nz000000ppjdIAA,Closed - Tenant Retained,800Nz000001muTsIAI,
a24Nz000000pr8jIAA,Active,8008d000000YQ9wAAG,
a24Nz000000ptIbIAI,Complete,8008d000000YfJpAAK,
a24Nz000000ptQhIAI,Complete,8008d000000YgNeAAK,
a24Nz000000purNIAQ,Complete,8008d000000YWC1AAO,
a24Nz000000pzMXIAY,Complete,800Nz000001oClOIAU,
a24Nz000000q0tZIAQ,Complete,8008d000000YnezAAC,
a24Nz000000q5oPIAQ,Closed - Tenant Retained,8008d000000Ye7SAAS,
a24Nz000000qDIvIAM,Active,8008d000000YL6PAAW,
a24Nz000000qikvIAA,Complete,8008d000000YnB8AAK,
a24Nz000000qj2fIAA,Cancelled,800Nz000004CYgPIAW,
a24Nz000000qk3ZIAQ,Complete,8008d000000YfLMAA0,
a24Nz000000qlFlIAI,Closed - Tenant Retained,8008d000000YlppAAC,
a24Nz000000qne9IAA,Complete,800Nz000007gd2eIAA,
a24Nz000000qqLtIAI,Complete,8008d000000YUVKAA4,
a24Nz000000qqQjIAI,Complete,800Nz000000xtBqIAI,
a24Nz000000qzQnIAI,Complete,8008d000000YnDiAAK,
a24Nz000000r225IAA,Complete,8008d000000YPMVAA4,
a24Nz000000r8AjIAI,Complete,800Nz000003H0t9IAC,
a24Nz000000rODtIAM,Complete,8008d000000Yce0AAC,
a24Nz000000rPLFIA2,Complete,8008d000000YcqvAAC,
a24Nz000000rT3uIAE,Complete,8008d000000YcgzAAC,
a24Nz000000rUZRIA2,Complete,8008d000000Yb2RAAS,
a24Nz000000rXttIAE,Complete,800Nz000001uAdgIAE,
a24Nz000000rYJhIAM,Complete,8008d000000YoZlAAK,
a24Nz000000ra0XIAQ,Complete,800Nz000007KHorIAG,
a24Nz000000ragTIAQ,Complete,800Nz000005FTjkIAG,
a24Nz000000rbELIAY,Closed - Tenant Retained,8008d000000Yed8AAC,
a24Nz000000rcLhIAI,Complete,8008d000000YbJ9AAK,
a24Nz000000rcTlIAI,Cancelled,8008d000000YT3sAAG,
a24Nz000000rcrxIAA,Cancelled,8008d000000Y5ycAAC,
a24Nz000000rdPpIAI,Complete,8008d000000Yjr7AAC,
a24Nz000000rdfxIAA,Cancelled,8008d000000YZTdAAO,
a24Nz000000reCDIAY,Active,8008d000000YHMZAA4,
a24Nz000000rec2IAA,Complete,8008d000000YQdTAAW,
a24Nz000000rg2jIAA,Complete,800Nz000007gjw0IAA,
a24Nz000000rsn3IAA,Complete,800Nz000000aMziIAE,
a24Nz000000rsyLIAQ,Active,8008d000000YVHUAA4,
a24Nz000000rugnIAA,Complete,8008d000000Y3btAAC,
a24Nz000000runFIAQ,Complete,800Nz000002ykmwIAA,
a24Nz000000ruvJIAQ,Active,800Nz000002qAqBIAU,
a24Nz000000rwgzIAA,Complete,8008d000000Yaj4AAC,
a24Nz000000ryfZIAQ,Complete,800Nz000001iMIrIAM,
a24Nz000000rzbdIAA,Complete,8008d000000YaY6AAK,
a24Nz000000s1vCIAQ,Complete,8008d000000YcAOAA0,
a24Nz000000s2rFIAQ,Active,800Nz000000gVLyIAM,
a24Nz000000s35lIAA,Complete,8008d000000YFO3AAO,
a24Nz000000sDptIAE,Active,8008d000000YorGAAS,
a24Nz000000sFA9IAM,Active,800Nz000002wQAjIAM,
a24Nz000000sQheIAE,Complete,8008d000000YbqSAAS,
a24Nz000000sSTxIAM,Active,8008d000000YdhCAAS,
a24Nz000000sZATIA2,Cancelled,800Nz000000vvxpIAA,
a24Nz000000sbozIAA,Complete,8008d000000Yfa7AAC,
a24Nz000000seDNIAY,Complete,800Nz000001IJJtIAO,
a24Nz000000seIDIAY,Complete,8008d000000Ygp9AAC,
a24Nz000000sgBxIAI,Complete,800Nz0000027eSlIAI,
a24Nz000000si5hIAA,Complete,8008d000000YdX7AAK,
a24Nz000000siiPIAQ,Complete,800Nz000005vGmsIAE,
a24Nz000000su5FIAQ,Complete,800Nz000002qTjNIAU,
a24Nz000000svPVIAY,Complete,8008d000000YZM3AAO,
a24Nz000000sySEIAY,Complete,8008d000000XtT2AAK,
a24Nz000000t9dlIAA,Complete,800Nz000003g9ZvIAI,
a24Nz000000t9kDIAQ,Complete,800Nz000002dVNtIAM,
a24Nz000000tAI6IAM,Complete,800Nz000000vwp1IAA,
a24Nz000000tnEcIAI,Complete,8008d000000YdfuAAC,
a24Nz000000tnw9IAA,Complete,8008d000000YkLRAA0,
a24Nz000000to0zIAA,Complete,8008d000000YllxAAC,
a24Nz000000tosDIAQ,Complete,8008d000000YfLCAA0,
a24Nz000000tsCfIAI,Active,800Nz000003HQHSIA4,
a24Nz000000tspNIAQ,Complete,8008d000000YfM0AAK,
a24Nz000000ttooIAA,Complete,8008d000000Ye7SAAS,
a24Nz000000ttyLIAQ,Active,8008d000000YgnSAAS,
a24Nz000000tvdZIAQ,Complete,8008d000000YkTLAA0,
a24Nz000000tvwvIAA,Active,800Nz000001vLvIIAU,
a24Nz000000twxpIAA,Complete,800Nz000001muTsIAI,
a24Nz000000txFZIAY,Complete,800Nz000003HciMIAS,
a24Nz000000ty8PIAQ,Complete,8008d000000YfJLAA0,
a24Nz000000tz65IAA,Complete,8008d000000YbJJAA0,
a24Nz000000tzvhIAA,Complete,8008d000000YZqDAAW,
a24Nz000000u2WzIAI,Complete,8008d000000Yjw2AAC,
a24Nz000000u3CvIAI,Complete,800Nz0000026DxVIAU,
a24Nz000000u40vIAA,Active,8008d000000YO8kAAG,
a24Nz000000u4vNIAQ,Complete,800Nz0000016clEIAQ,
a24Nz000000uKX7IAM,Active,8008d000000YejkAAC,
a24Nz000000uMkDIAU,Cancelled,800Nz0000042JKVIA2,
a24Nz000000uNJhIAM,Complete,8008d000000Yb8KAAS,
a24Nz000000uOUIIA2,Closed - Tenant Retained,8008d000000YIVEAA4,
a24Nz000000uPRxIAM,Complete,8008d000000YkWFAA0,
a24Nz000000uPTZIA2,Complete,8008d000000YkpbAAC,
a24Nz000000uQpRIAU,Complete,800Nz000001yWEIIA2,
a24Nz000000uTvNIAU,Complete,800Nz000001TMixIAG,
a24Nz000000uWLNIA2,Complete,8008d000000YjnKAAS,
a24Nz000000ucVdIAI,Complete,800Nz000000sZK9IAM,
a24Nz000000ueh7IAA,Complete,8008d000000YbrLAAS,
a24Nz000000uf25IAA,Complete,8008d000000YZQpAAO,
a24Nz000000uwcQIAQ,Active,800Nz000001FFHcIAO,
a24Nz000000ux3pIAA,Closed - Tenant Retained,8008d000000YNq2AAG,
a24Nz000000uxtRIAQ,Complete,800Nz000000eDzaIAE,
a24Nz000000uxv3IAA,Complete,8008d000000YkydAAC,
a24Nz000000uyPhIAI,Active,8008d000000YnOlAAK,
a24Nz000000uzK9IAI,Active,800Nz000000pgOgIAI,
a24Nz000000v2TJIAY,Complete,8008d000000YcqQAAS,
a24Nz000000v3yrIAA,Complete,8008d000000YXkbAAG,
a24Nz000000v5B4IAI,Cancelled,800Nz0000012YwPIAU,
a24Nz000000v8AXIAY,Complete,800Nz000003PCNgIAO,
a24Nz000000v8QfIAI,Complete,800Nz000007dK9ZIAU,
a24Nz000000v8fCIAQ,Complete,800Nz000002DEvGIAW,
a24Nz000000vBpxIAE,Complete,8008d000000Yb9IAAS,
